p,m,kind,θ,λ_min,λ_max,κ
2,1,lumped,1.0,0.999999999999958,2.8000000000000007,2.8000000000001184
2,1,lumped,1.0,0.999999999999958,2.8000000000000007,2.8000000000001184
2,1,dirichlet,1.0,0.9999999999999472,2.0416666666666665,2.0416666666667744
2,1,dirichlet,0.0,0.9999999999999472,2.0416666666666665,2.0416666666667744
4,1,lumped,1.0,0.999999999999779,12.947880099922958,12.94788009992582
4,1,lumped,1.0,0.999999999999779,12.947880099922958,12.94788009992582
4,1,dirichlet,-0.0625,0.9999999999996337,3.2414831312996704,3.2414831313008574
4,1,dirichlet,0.0,0.9999999999996337,3.2414831312996704,3.2414831313008574
8,1,lumped,1.0,0.9999999999990656,59.56330254978548,59.56330254984114
8,1,lumped,1.0,0.9999999999990656,59.56330254978548,59.56330254984114
8,1,dirichlet,-0.0625,0.999999999998349,5.194529913448607,5.194529913457183
8,1,dirichlet,0.0,0.999999999998349,5.194529913448607,5.194529913457183
16,1,lumped,1.0,0.9999999999944459,289.67754446903456,289.67754447064345
16,1,lumped,1.0,0.9999999999944459,289.67754446903456,289.67754447064345
16,1,dirichlet,0.0,0.9999999999931856,7.756317490204774,7.756317490257628
16,1,dirichlet,-0.0625,0.9999999999931856,7.756317490204774,7.756317490257628
