finep,coarsep,ω,θ,v,ρ
2,1,0.25,0.0,1,0.6007468181593862
2,1,0.25,0.0,1,0.6007468181593862
2,1,0.25,1.0,1,0.6007468181593862
4,1,0.1,0.0,1,6.677528929541176
4,1,0.1,1.0,1,6.677528929541176
4,1,0.1,0.375,1,6.677528929541176
4,2,0.1,-0.25,1,3.004030078206077
4,2,0.1,-0.25,1,3.004030078206077
4,2,0.1,-0.25,1,3.004030078206077
8,1,0.1,0.5,1,338.01478944504385
8,1,0.1,1.0,1,338.01478944504385
8,1,0.1,0.0,1,338.01478944504385
8,2,0.1,-0.0625,1,217.29921142215736
8,2,0.1,-0.0625,1,217.29921142215736
8,2,0.1,-0.0625,1,217.29921142215736
8,4,0.1,-0.0625,1,102.83722607289707
8,4,0.1,-0.0625,1,102.83722607289707
8,4,0.1,0.0625,1,102.83722607289707
